,file_name,totalArea,Ecc,EquivlentDiameter,weightedX,weightedY,Rectangularity,MeanIntensity,Circularity,Elongation,EulerNumber,Class
128867,subset2_positive_83786_127656.jpg,37.0,0.7985495747592493,6.863662517577697,28.89189189189189,28.16216216216216,0.5873015873015873,0.0,0.9993988190909648,0.7777777777777778,1.0,1
76812,subset1_negative_60826_110840.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
313563,subset7_negative_57224_125088.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28005,subset0_negative_97176_111457.jpg,286.0,0.9164759803169078,19.08262324195121,35.31118881118881,37.63636363636363,0.3310185185185185,0.0,2.5356226458066744,0.84375,1.0,0
299910,subset7_negative_62398_113663.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75161,subset1_negative_51579_138179.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
151269,subset3_positive_74930_130327.jpg,325.0,0.8888580374029158,20.342144725641095,32.85230769230769,32.972307692307695,0.6166982922201139,0.0,1.7594890049630825,0.5483870967741935,1.0,1
297156,subset7_positive_57842_131364.jpg,19.0,0.8950857642474938,4.918490759365935,30.63157894736842,31.0,0.6785714285714286,0.0,0.849606000715796,0.5714285714285714,1.0,1
34357,subset0_positive_08059_126304.jpg,389.0,0.7294360597500131,22.255115881567054,33.426735218508995,31.763496143958868,0.6765217391304348,0.0,1.3152655242971287,0.92,1.0,1
364127,subset8_positive_39227_129256.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118523,subset2_negative_35891_107012.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
126487,subset2_negative_85405_131746.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
338161,subset8_negative_21986_119955.jpg,935.0,0.7252133433219573,34.50331830893048,21.42139037433155,40.65668449197861,0.4471544715447153,0.0,2.8963396257564145,0.8039215686274509,0.0,0
399696,subset9_positive_16280_127690.jpg,37.0,0.7355052691353136,6.863662517577697,32.2972972972973,31.621621621621625,0.7708333333333334,0.0,0.8516722945634324,0.75,1.0,1
26101,subset0_positive_93273_134669.jpg,796.0,0.6232717578989567,31.83549399034338,20.72110552763819,35.12060301507537,0.6909722222222222,0.0,1.326494918165718,0.8888888888888888,1.0,1
189878,subset4_positive_17227_121596.jpg,15.0,0.7559289460184545,4.370193722368317,32.8,31.6,0.75,0.0,0.7951500375806897,0.8,1.0,1
201667,subset4_positive_59377_106372.jpg,36.0,0.5439056439097804,6.770275002573077,31.61111111111111,30.13888888888889,0.8571428571428571,0.0,0.8039659506186233,0.8571428571428571,1.0,1
315911,subset7_negative_74972_131781.jpg,1.0,0.0,1.1283791670955126,31.0,33.0,1.0,0.0,0.0,1.0,1.0,0
231383,subset4_positive_18032_104926.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
204337,subset4_negative_18440_113951.jpg,22.0,0.7861519977990904,5.2925674284012265,32.0,32.36363636363637,0.7333333333333333,0.0,0.8215906780822317,0.8333333333333334,1.0,0
18515,subset0_negative_96730_135397.jpg,72.0,0.9561797562432874,9.574614729634384,32.52777777777778,32.013888888888886,0.5714285714285714,0.0,1.7262728086172672,0.3888888888888889,1.0,0
205554,subset4_negative_64515_121182.jpg,65.0,0.5217508959037409,9.09728368293446,31.70769230769231,30.753846153846155,0.7222222222222222,0.0,0.9296514223064659,0.9,1.0,0
219239,subset4_negative_11064_132342.jpg,25.0,0.913641725901944,5.641895835477562,32.24,31.56,0.5952380952380952,0.0,1.0198391526657204,0.8571428571428571,1.0,0
408797,subset9_negative_79976_117623.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
86441,subset1_negative_09754_107455.jpg,21.0,0.7889943011071997,5.170882945826412,32.52380952380953,32.0,0.7,0.0,0.8607140437051949,0.8333333333333334,1.0,0
385694,subset9_positive_67838_110431.jpg,85.0,0.2192265549230893,10.403141895720196,29.44705882352941,31.635294117647057,0.85,0.0,0.9179947955593484,1.0,1.0,1
127064,subset2_negative_27422_117591.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
178165,subset4_negative_55058_101377.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
292335,subset7_negative_68085_114608.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
177329,subset4_negative_96643_131850.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
368157,subset8_positive_55819_134238.jpg,163.0,0.8083430225355959,14.406180819073164,31.88957055214724,35.429447852760745,0.5433333333333333,0.0,1.4077534315937856,0.75,1.0,1
43117,subset0_negative_83845_133524.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
155838,subset3_negative_99956_127370.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
95164,subset2_positive_34230_125342.jpg,184.0,0.5771104786825799,15.306079714651625,32.16847826086956,32.30978260869565,0.7666666666666667,0.0,1.0226681145485048,0.9375,1.0,1
91192,subset2_negative_32739_104357.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
379988,subset9_negative_68094_109109.jpg,8.0,0.6123724356957945,3.1915382432114616,31.875,31.875,0.8888888888888888,0.0,0.5468022991227088,1.0,1.0,0
154908,subset3_positive_16689_114878.jpg,43.0,0.7135899576252631,7.399277020331919,28.744186046511633,31.627906976744185,0.6825396825396826,0.0,0.9704507231474928,0.7777777777777778,1.0,1
107707,subset2_negative_76953_105227.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
260412,subset5_negative_26975_108953.jpg,99.0,0.984101411061752,11.227230955528665,24.949494949494948,35.434343434343425,0.375,0.0,2.3655613180684893,0.4583333333333333,1.0,0
218360,subset4_positive_55115_112218.jpg,184.0,0.5665521940981174,15.306079714651625,31.956521739130434,31.46195652173913,0.6764705882352942,0.0,1.126733981465117,0.9411764705882352,1.0,1
