totalArea,Ecc,EquivlentDiameter,weightedX,weightedY,Rectangularity,Circularity,Elongation,EulerNumber,Class
0,0,0,0,0,0,0,0,0,0
81,0.674171,10.155413,28.530864,30.17284,0.84375,1.074488,0.666667,1,0
0,0,0,0,0,0,0,0,0,0
39,0.4153,7.046726,31.871795,31.871795,0.795918,0.807997,1,1,0
0,0,0,0,0,0,0,0,0,0
1282,0.656768,40.401647,34.396256,40.112324,0.474815,3.198413,0.925926,1,0
9,0.694588,3.385138,32.111111,31.333333,0.75,0.600731,0.75,1,0
93,0.628842,10.881695,34.247312,31.150538,0.715385,1.117725,0.769231,1,0
310,0.782821,19.867165,30.619355,26.845161,0.59387,1.368419,0.62069,1,0
1067,0.613992,36.858467,41.330834,29.170572,0.683974,1.45858,0.975,1,0
57,0.51397,8.519076,32.789474,29.578947,0.890625,0.919014,1,1,0
185,0.577033,15.347616,29.118919,33.508108,0.642361,1.160489,0.888889,1,0
930,0.806772,34.41094,31.136559,23.639785,0.439509,2.784995,1,1,0
856,0.752547,33.013528,33.117991,32.13785,0.472146,2.20053,0.755102,1,0
8,0.57735,3.191538,32,30.5,0.666667,0.583178,0.75,1,0
81,0.513888,10.155413,32.08642,31.308642,0.736364,0.942331,0.909091,1,0
154,0.613725,14.002817,31.324675,33.025974,0.603922,1.118608,0.882353,1,0
432,0.502927,23.452921,38.68287,34.578704,0.785455,1.062332,0.88,1,0
20,0.730297,5.046265,31.5,31.5,0.833333,0.742098,0.666667,1,0
6,0.6742,2.763953,32.833333,32.166667,0.666667,0.516863,1,1,0
0,0,0,0,0,0,0,0,0,0
18,0.722659,4.787307,30.277778,32.388889,0.75,0.755335,0.666667,1,0
111,0.570127,11.888212,30.324324,31.009009,0.770833,1.011193,1,1,0
682,0.753429,29.467768,18.639296,30.788856,0.573109,1.322648,0.971429,1,0
19,0.836634,4.918491,30.736842,35.105263,0.633333,0.781156,0.833333,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
37,0.79855,6.863663,28.891892,28.162162,0.587302,0.999399,0.777778,1,0
31,0.838036,6.282549,31.193548,32.193548,0.632653,0.900342,1,1,0
463,0.933236,24.279825,26.812095,34.153348,0.395726,3.713145,0.577778,1,0
0,0,0,0,0,0,0,0,0,0
26,0.717525,5.753627,31.961538,32.307692,0.742857,0.831782,0.714286,1,0
183,0.808667,15.26443,30.262295,33.480874,0.580952,1.537192,0.714286,1,0
36,0.749939,6.770275,32,32.916667,0.734694,0.927623,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,1.128379,32,32,1,0,1,1,0
267,0.701152,18.437868,30.191011,25.76779,0.610984,1.967783,0.826087,1,0
0,0,0,0,0,0,0,0,0,0
881,0.695903,33.492149,44.682179,33.062429,0.596883,2.619543,0.878049,0,0
22,0.449119,5.292567,32,32.136364,0.733333,0.758964,0.833333,1,0
216,0.717623,16.583719,33.013889,31.444444,0.521739,2.68001,0.782609,-1,0
0,0,0,0,0,0,0,0,0,0
47,0.903905,7.735778,30.723404,34.382979,0.534091,1.105834,0.727273,1,0
87,0.828623,10.52482,33.218391,32.885057,0.644444,1.359761,0.6,1,0
371,0.668683,21.734118,34.185984,33.326146,0.509615,1.916828,0.928571,1,0
0,0,0,0,0,0,0,0,0,0
42,0.848677,7.312733,31.714286,30.880952,0.583333,1.051373,0.888889,1,0
24,0.584987,5.527906,31.875,31.666667,0.8,0.753125,0.833333,1,0
7,0.816497,2.985411,33,32,0.777778,0.53007,1,1,0
652,0.827066,28.812362,29.334356,35.233129,0.578014,2.270659,0.510638,0,0
