totalArea,Ecc,EquivlentDiameter,weightedX,weightedY,Rectangularity,Circularity,Elongation,EulerNumber,Class
70,0.627099,9.440697,31,31.328571,0.875,0.999867,0.8,1,0
50,0.87164,7.978846,30.72,33.84,0.568182,1.260475,0.727273,1,0
742,0.897328,30.736684,20.675202,37.605121,0.432401,3.950429,0.886364,1,0
81,0.665302,10.155413,34.91358,31.604938,0.736364,0.942331,0.909091,1,0
0,0,0,0,0,0,0,0,0,0
37,0.657921,6.863663,33.189189,31.459459,0.770833,0.902552,0.75,1,0
395,0.717481,22.426092,32.470886,32.997468,0.498737,1.835919,0.727273,1,0
33,0.676288,6.482045,33.030303,32.424242,0.785714,0.824002,0.857143,1,0
61,0.525278,8.812923,32,31.95082,0.753086,0.891543,1,1,0
0,0,0,0,0,0,0,0,0,0
397,0.763388,22.482796,29.163728,32.267003,0.539402,1.582059,0.71875,1,0
12,0.795006,3.90882,31.916667,31.833333,0.8,0.695717,0.6,1,0
19,0.520704,4.918491,32.842105,31.842105,0.76,0.715581,1,1,0
194,0.452038,15.716503,35.113402,29.634021,0.808333,0.993463,0.9375,1,0
0,0,0,0,0,0,0,0,0,0
95,0.866479,10.99808,32.063158,29.926316,0.487179,1.437121,0.866667,1,0
289,0.732719,19.182446,26.951557,24.868512,0.688095,1.261973,0.952381,1,0
0,0,0,0,0,0,0,0,0,0
21,0.687488,5.170883,31.095238,31.285714,0.7,0.795105,0.833333,1,0
40,0.687109,7.136496,32.125,32.225,0.714286,0.90375,0.875,1,0
0,0,0,0,0,0,0,0,0,0
961,0.874951,34.979754,41.773153,23.752341,0.337193,6.098479,0.877193,-4,0
96,0.745641,11.055813,31.604167,32.78125,0.738462,1.047981,0.769231,1,0
0,0,0,0,0,0,0,0,0,0
272,0.539758,18.609706,31.533088,33.356618,0.719577,1.092658,0.857143,1,0
30,0.517432,6.180387,31.3,31.9,0.714286,0.849866,0.857143,1,0
0,0,0,0,0,0,0,0,0,0
70,0.713697,9.440697,32.142857,31.8,0.795455,0.938211,0.727273,1,0
48,0.472273,7.81764,32.125,30.770833,0.857143,0.882438,0.875,1,0
458,0.553159,24.148369,32.008734,32.980349,0.765886,1.078056,0.884615,1,0
1045,0.783995,36.476504,20.466986,19.226794,0.55,1.903177,0.76,1,0
2,1,1.595769,31,31.5,1,0,0.5,1,0
213,0.664448,16.468152,29.140845,30.605634,0.788889,1.105007,0.833333,1,0
40,0.724051,7.136496,31.225,31.075,0.714286,1.417441,0.875,0,0
0,0,0,0,0,0,0,0,0,0
11,0.708444,3.74241,31.909091,32.636364,0.916667,0.641159,0.75,1,0
17,0.815319,4.652426,32.588235,31.705882,0.566667,0.904356,0.833333,1,0
29,0.492183,6.076508,32.517241,31.172414,0.690476,0.879172,0.857143,1,0
578,0.474125,27.128075,31.432526,31.576125,0.76455,1.105245,0.964286,1,0
323,0.648261,20.279457,31.96904,39.346749,0.690171,1.551458,0.692308,1,0
190,0.709914,15.553633,31.584211,30.415789,0.714286,1.160007,0.736842,1,0
432,0.502927,23.452921,38.68287,34.578704,0.785455,1.062332,0.88,1,0
369,0.831113,21.675456,37.203252,31.230352,0.476129,2.709226,0.806452,1,0
178,0.628771,15.054456,30.938202,32.926966,0.669173,1.156897,0.736842,1,0
121,0.421492,12.412171,31.190083,33.165289,0.775641,1.029052,0.923077,1,0
36,0.758972,6.770275,30.972222,29,0.571429,1.226602,0.777778,1,0
198,0.813432,15.877702,30.651515,34.838384,0.66,1.404386,0.75,1,0
21,0,5.170883,32,32,0.84,0.70676,1,1,0
0,0,0,0,0,0,0,0,0,0
323,0.648261,20.279457,31.96904,31.346749,0.690171,1.551458,0.692308,1,0
303,0.437929,19.641578,28.323432,29.026403,0.450893,1.623913,0.857143,1,0
0,0,0,0,0,0,0,0,0,0
26,0.80035,5.753627,32,32.115385,0.722222,0.954209,1,1,0
9,0.694588,3.385138,33.111111,33.666667,0.75,0.600731,0.75,1,0
298,0.668106,19.478845,31.365772,31.057047,0.483766,1.722738,0.785714,1,0
7,0.377964,2.985411,32.285714,32,0.777778,0.53007,1,1,0
406,0.370184,22.73621,29.608374,23.576355,0.537037,1.613848,0.964286,1,0
30,0.450972,6.180387,32.366667,32.633333,0.833333,0.773019,1,1,0
980,0.611909,35.323855,33.328571,28.309184,0.651163,1.394644,0.813953,1,0
427,0.711341,23.316803,25.142857,34.552693,0.635417,1.31,0.857143,1,0
7,0.816497,2.985411,31,32,0.777778,0.53007,1,1,0
22,0.798047,5.292567,31.772727,31.590909,0.785714,0.821591,0.571429,1,0
27,0.584349,5.86323,31.259259,32.259259,0.75,0.800975,1,1,0
13,0.523557,4.068429,31.384615,30.615385,0.8125,0.642201,1,1,0
0,0,0,0,0,0,0,0,0,0
389,0.729436,22.255116,33.426735,31.763496,0.676522,1.315266,0.92,1,0
265,0.462848,18.368682,32.181132,31.184906,0.774854,1.040718,0.947368,1,0
7,0.377964,2.985411,33,33.285714,0.777778,0.53007,1,1,0
658,0.908656,28.94463,29.405775,33.024316,0.37643,4.059055,0.826087,1,0
110,0.818051,11.834541,31.754545,30.072727,0.654762,1.214343,0.857143,1,0
155,0.41382,14.048207,34.232258,30.651613,0.538194,3.17162,0.888889,1,0
9,0,3.385138,48,4,1,0.565884,1,1,0
47,0.872499,7.735778,33.340426,30,0.580247,1.157109,1,1,0
100,0.818905,11.283792,31.33,30.85,0.740741,1.193544,0.6,1,0
0,0,0,0,0,0,0,0,0,0
311,0.703176,19.899183,33.958199,29.501608,0.691111,1.285154,0.72,1,0
112,0.908875,11.941643,33.821429,33.303571,0.470588,1.483801,0.823529,1,0
270,0.802081,18.541162,29.625926,29.614815,0.47619,2.476691,0.777778,1,0
539,0.438962,26.196872,20.213358,29.506494,0.767806,1.132895,0.962963,1,0
25,0.693235,5.641896,31,30.84,0.694444,0.865053,1,1,0
1573,0.789304,44.752718,19.586777,18.54609,0.493723,2.023359,0.915254,1,0
5,0.816497,2.523133,31.2,30.6,0.833333,0.431532,0.666667,1,0
50,0.803042,7.978846,33.64,31.18,0.694444,1.019839,0.888889,1,0
32,0.436482,6.383076,31.625,30.21875,0.888889,0.827591,1,1,0
796,0.623272,31.835494,20.721106,35.120603,0.690972,1.326495,0.888889,1,0
56,0.495983,8.444016,31,32.303571,0.777778,0.953201,0.888889,1,0
98,0.368834,11.170384,33.173469,30.153061,0.809917,0.979313,1,1,0
372,0.579852,21.763389,36.951613,32.459677,0.461538,2.082615,0.83871,1,0
41,0.903905,7.225152,31.390244,33.756098,0.621212,1.411843,0.545455,1,0
0,0,0,0,0,0,0,0,0,0
94,0.671677,10.940042,29.776596,32.202128,0.522222,1.580867,0.8,1,0
0,0,0,0,0,0,0,0,0,0
291,0.733699,19.248707,31.714777,32.189003,0.744246,1.222814,0.73913,1,0
0,0,0,0,0,0,0,0,0,0
83,0.571145,10.280023,31.156627,33.626506,0.754545,0.954741,0.909091,1,0
38,0.515292,6.955796,33.815789,30.421053,0.678571,0.951316,0.875,1,0
75,0.449388,9.77205,30.026667,30.56,0.833333,0.911739,0.9,1,0
0,0,0,0,0,0,0,0,0,0
287,0.848044,19.115955,32.860627,28.522648,0.640625,1.468276,0.571429,1,0
16,0.57735,4.513517,32,31.5,0.8,0.675823,0.8,1,0
37,0.658214,6.863663,32.297297,30.837838,0.770833,0.851672,0.75,1,0
2,1,1.595769,33.5,32,1,0,0.5,1,0
10,0.612372,3.568248,30,32.2,0.833333,0.620236,0.75,1,0
10,0.829655,3.568248,31.8,32.9,0.666667,0.742098,0.6,1,0
10,0.791741,3.568248,30.7,31.2,0.833333,0.536007,0.75,1,0
22,0.590475,5.292567,33.5,31.909091,0.733333,0.821591,0.833333,1,0
163,0.840835,14.406181,30.02454,31.306748,0.582143,1.364653,0.7,1,0
4,0,2.256758,30.5,31.5,1,0.31831,1,1,0
119,0.603511,12.309163,31.97479,29.394958,0.772727,1.141383,0.785714,1,0
62,0.452709,8.884866,31.870968,31.258065,0.765432,0.916914,1,1,0
450,0.86346,23.936537,36.137778,17.848889,0.459184,2.217583,0.8,1,0
23,0.589597,5.411516,32.608696,31.347826,0.766667,0.785869,0.833333,1,0
82,0.800821,10.217908,32.829268,30.853659,0.683333,1.092762,0.833333,1,0
77,0.64052,9.901487,30.324675,31.571429,0.7,1.029136,0.909091,1,0
471,0.529338,24.488688,27.721868,38.481953,0.67094,1.262008,0.962963,1,0
52,0.904805,8.136858,32.153846,31.346154,0.722222,1.315008,0.5,1,0
0,0,0,0,0,0,0,0,0,0
606,0.762321,27.777386,39.105611,36.235974,0.467593,2.007395,1,1,0
0,0,0,0,0,0,0,0,0,0
39,0.731235,7.046726,32.307692,32.102564,0.609375,0.948148,1,1,0
0,0,0,0,0,0,0,0,0,0
21,0.742988,5.170883,31.095238,31.52381,0.7,0.795105,0.833333,1,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
55,0.270545,8.368284,30.781818,31.527273,0.859375,0.867436,1,1,1
0,0,0,0,0,0,0,0,0,1
38,0.981624,6.955796,47.921053,18.394737,0.506667,1.601814,0.333333,1,1
3,0.816497,1.95441,31.666667,31.666667,0.75,0.309208,1,1,1
13,0.948683,4.068429,31,31,0.52,0.285422,1,1,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
60,0.877939,8.740387,30.616667,31.55,0.606061,1.113148,0.818182,1,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
7,0.816497,2.985411,31,33,0.777778,0.53007,1,1,1
0,0,0,0,0,0,0,0,0,1
30,0.978074,6.180387,32.333333,30.233333,0.461538,1.536949,0.384615,1,1
